"";"ISO3";"country"
"1";"ABW";"Aruba"
"2";"AFG";"Afghanistan"
"3";"AGO";"Angola"
"4";"ALA";"Åland"
"5";"ALB";"Albania"
"6";"AND";"Andorra"
"7";"ARE";"United Arab Emirates"
"8";"ARG";"Argentina"
"9";"ARM";"Armenia"
"10";"ASM";"American Samoa"
"11";"ATA";"Antarctica"
"12";"ATF";"French Southern Territories"
"13";"ATG";"Antigua and Barbuda"
"14";"AUS";"Australia"
"15";"AUT";"Austria"
"16";"AZE";"Azerbaijan"
"17";"BDI";"Burundi"
"18";"BEL";"Belgium"
"19";"BEN";"Benin"
"20";"BES";"Bonaire, Saint Eustatius and Saba"
"21";"BFA";"Burkina Faso"
"22";"BGD";"Bangladesh"
"23";"BGR";"Bulgaria"
"24";"BHR";"Bahrain"
"25";"BHS";"Bahamas"
"26";"BIH";"Bosnia and Herzegovina"
"27";"BLR";"Belarus"
"28";"BLZ";"Belize"
"29";"BOL";"Bolivia"
"30";"BRA";"Brazil"
"31";"BRB";"Barbados"
"32";"BRN";"Brunei"
"33";"BTN";"Bhutan"
"34";"BWA";"Botswana"
"35";"CAF";"Central African Republic"
"36";"CAN";"Canada"
"37";"CHE";"Switzerland"
"38";"CHL";"Chile"
"39";"CHN";"China"
"40";"CIV";"Côte d'Ivoire"
"41";"CMR";"Cameroon"
"42";"COD";"Democratic Republic of the Congo"
"43";"COG";"Congo"
"44";"COK";"Cook Islands"
"45";"COL";"Colombia"
"46";"COM";"Comoros"
"47";"CPV";"Cabo Verde"
"48";"CRI";"Costa Rica"
"49";"CUB";"Cuba"
"50";"CUW";"Curaçao"
"51";"CYM";"Cayman Islands"
"52";"CYP";"Cyprus"
"53";"CZE";"Czech Republic"
"54";"DEU";"Germany"
"55";"DJI";"Djibouti"
"56";"DMA";"Dominica"
"57";"DNK";"Denmark"
"58";"DOM";"Dominican Republic"
"59";"DZA";"Algeria"
"60";"ECU";"Ecuador"
"61";"EGY";"Egypt"
"62";"ERI";"Eritrea"
"63";"ESH";"Western Sahara"
"64";"ESP";"Spain"
"65";"EST";"Estonia"
"66";"ETH";"Ethiopia"
"67";"FIN";"Finland"
"68";"FJI";"Fiji"
"69";"FLK";"Falkland Islands"
"70";"FRA";"France"
"71";"FRO";"Faroe Islands"
"72";"FSM";"Micronesia"
"73";"GAB";"Gabon"
"74";"GBR";"United Kingdom"
"75";"GEO";"Georgia"
"76";"GHA";"Ghana"
"77";"GIN";"Guinea"
"78";"GLP";"Guadeloupe"
"79";"GMB";"Gambia"
"80";"GNB";"Guinea-Bissau"
"81";"GNQ";"Equatorial Guinea"
"82";"GRC";"Greece"
"83";"GRD";"Grenada"
"84";"GRL";"Greenland"
"85";"GTM";"Guatemala"
"86";"GUF";"French Guiana"
"87";"GUM";"Guam"
"88";"GUY";"Guyana"
"89";"HKG";"Hong Kong"
"90";"HMD";"Heard Island and McDonald Islands"
"91";"HND";"Honduras"
"92";"HRV";"Croatia"
"93";"HTI";"Haiti"
"94";"HUN";"Hungary"
"95";"IDN";"Indonesia"
"96";"IMN";"Isle of Man"
"97";"IND";"India"
"98";"IRL";"Ireland"
"99";"IRN";"Iran"
"100";"IRQ";"Iraq"
"101";"ISL";"Iceland"
"102";"ISR";"Israel"
"103";"ITA";"Italy"
"104";"JAM";"Jamaica"
"105";"JEY";"Jersey"
"106";"JOR";"Jordan"
"107";"JPN";"Japan"
"108";"KAZ";"Kazakhstan"
"109";"KEN";"Kenya"
"110";"KGZ";"Kyrgyzstan"
"111";"KHM";"Cambodia"
"112";"KIR";"Kiribati"
"113";"KNA";"Saint Kitts and Nevis"
"114";"KOR";"South Korea"
"115";"KWT";"Kuwait"
"116";"LAO";"Laos"
"117";"LBN";"Lebanon"
"118";"LBR";"Liberia"
"119";"LBY";"Libya"
"120";"LCA";"Saint Lucia"
"121";"LIE";"Liechtenstein"
"122";"LKA";"Sri Lanka"
"123";"LSO";"Lesotho"
"124";"LTU";"Lithuania"
"125";"LUX";"Luxembourg"
"126";"LVA";"Latvia"
"127";"MAC";"Macao"
"128";"MAF";"Saint-Martin"
"129";"MAR";"Morocco"
"130";"MDA";"Moldova"
"131";"MDG";"Madagascar"
"132";"MEX";"Mexico"
"133";"MKD";"Macedonia"
"134";"MLI";"Mali"
"135";"MLT";"Malta"
"136";"MMR";"Myanmar"
"137";"MNE";"Montenegro"
"138";"MNG";"Mongolia"
"139";"MNP";"Northern Mariana Islands"
"140";"MOZ";"Mozambique"
"141";"MRT";"Mauritania"
"142";"MSR";"Montserrat"
"143";"MTQ";"Martinique"
"144";"MUS";"Mauritius"
"145";"MWI";"Malawi"
"146";"MYS";"Malaysia"
"147";"MYT";"Mayotte"
"148";"NAM";"Namibia"
"149";"NCL";"New Caledonia"
"150";"NER";"Niger"
"151";"NGA";"Nigeria"
"152";"NIC";"Nicaragua"
"153";"NIU";"Niue"
"154";"NLD";"Netherlands"
"155";"NOR";"Norway"
"156";"NPL";"Nepal"
"157";"NZL";"New Zealand"
"158";"OMN";"Oman"
"159";"PAK";"Pakistan"
"160";"PAN";"Panama"
"161";"PER";"Peru"
"162";"PHL";"Philippines"
"163";"PLW";"Palau"
"164";"PNG";"Papua New Guinea"
"165";"POL";"Poland"
"166";"PRI";"Puerto Rico"
"167";"PRK";"North Korea"
"168";"PRT";"Portugal"
"169";"PRY";"Paraguay"
"170";"PSE";"Palestine"
"171";"PYF";"French Polynesia"
"172";"QAT";"Qatar"
"173";"REU";"Réunion"
"174";"ROU";"Romania"
"175";"RUS";"Russia"
"176";"RWA";"Rwanda"
"177";"SAU";"Saudi Arabia"
"178";"SDN";"Sudan"
"179";"SEN";"Senegal"
"180";"SGP";"Singapore"
"181";"SGS";"South Georgia and the South Sandwich Islands"
"182";"SHN";"Saint Helena"
"183";"SJM";"Svalbard and Jan Mayen"
"184";"SLB";"Solomon Islands"
"185";"SLE";"Sierra Leone"
"186";"SLV";"El Salvador"
"187";"SOM";"Somalia"
"188";"SPM";"Saint Pierre and Miquelon"
"189";"SRB";"Serbia"
"190";"SSD";"South Sudan"
"191";"STP";"São Tomé and Príncipe"
"192";"SUR";"Suriname"
"193";"SVK";"Slovakia"
"194";"SVN";"Slovenia"
"195";"SWE";"Sweden"
"196";"SWZ";"Eswatini"
"197";"SXM";"Sint Maarten"
"198";"SYC";"Seychelles"
"199";"SYR";"Syria"
"200";"TCA";"Turks and Caicos Islands"
"201";"TCD";"Chad"
"202";"TGO";"Togo"
"203";"THA";"Thailand"
"204";"TJK";"Tajikistan"
"205";"TKM";"Turkmenistan"
"206";"TLS";"East Timor"
"207";"TON";"Tonga"
"208";"TTO";"Trinidad and Tobago"
"209";"TUN";"Tunisia"
"210";"TUR";"Turkey"
"211";"TWN";"Taiwan"
"212";"TZA";"Tanzania"
"213";"UGA";"Uganda"
"214";"UKR";"Ukraine"
"215";"URY";"Uruguay"
"216";"USA";"United States"
"217";"UZB";"Uzbekistan"
"218";"VCT";"Saint Vincent and the Grenadines"
"219";"VEN";"Venezuela"
"220";"VIR";"Virgin Islands, U.S."
"221";"VNM";"Vietnam"
"222";"VUT";"Vanuatu"
"223";"WSM";"Samoa"
"224";"XAD";"Akrotiri and Dhekelia"
"225";"XCA";"Caspian Sea"
"226";"XKO";"Kosovo"
"227";"XNC";"Northern Cyprus"
"228";"YEM";"Yemen"
"229";"ZAF";"South Africa"
"230";"ZMB";"Zambia"
"231";"ZWE";"Zimbabwe"
